"","seqnames","start","end","width","strand","n","tx_names"
"685","chr1",11285590,11288748,3159,"+",2,c("g3078.t1", "g3079.t1")
"686","chr1",11314673,11318148,3476,"-",3,c("g3086.t1", "g3086.t2", "g3086.t3")
"687","chr1",11319483,11324361,4879,"+",3,c("g3087.t1", "g3088.t1", "g3089.t1")
"688","chr1",11326614,11327683,1070,"+",2,c("g3091.t1", "g3091.t2")
"689","chr1",11329505,11333056,3552,"-",2,c("g3092.t1", "g3093.t1")
"690","chr1",11334095,11345659,11565,"-",5,c("g3094.t1", "g3095.t1", "g3095.t2", "g3096.t1", "g3097.t1")
"691","chr1",11346209,11354994,8786,"+",2,c("g3098.t1", "g3098.t2")
"692","chr1",11355715,11361988,6274,"+",3,c("g3100.t1", "g3101.t1", "g3102.t1")
"693","chr1",11365503,11370787,5285,"-",2,c("g3105.t1", "g3106.t1")
"694","chr1",11376313,11382654,6342,"+",2,c("g3108.t2", "g3108.t1")
"695","chr1",11410745,11413963,3219,"-",2,c("g3119.t1", "g3120.t1")
"696","chr1",11415115,11424470,9356,"-",5,c("g3121.t1", "g3121.t2", "g3122.t1", "g3123.t1", "g3124.t1")
"697","chr1",11425265,11427479,2215,"-",2,c("g3125.t1", "g3126.t1")
"698","chr1",11436526,11442097,5572,"-",2,c("g3130.t1", "g3131.t1")
"699","chr1",11443557,11444644,1088,"+",2,c("g3132.t1", "g3133.t1")
"700","chr1",11487473,11503891,16419,"+",9,c("g3143.t1", "g3144.t1", "g3145.t1", "g3146.t1", "g3147.t1", "g3148.t1", "g3149.t1", "g3150.t1", "g3151.t1")
"701","chr1",11504749,11508130,3382,"+",2,c("g3152.t1", "g3153.t1")
"702","chr1",11518926,11525652,6727,"+",2,c("g3156.t1", "g3157.t1")
"703","chr1",11533764,11537839,4076,"+",2,c("g3161.t1", "g3162.t1")
"704","chr1",11639359,11642027,2669,"-",3,c("g3176.t1", "g3177.t1", "g3178.t1")
"705","chr1",11647166,11651423,4258,"-",2,c("g3181.t1", "g3182.t1")
"706","chr1",11655034,11659760,4727,"-",2,c("g3185.t1", "g3186.t1")
"707","chr1",11661419,11666740,5322,"-",2,c("g3187.t1", "g3188.t1")
"708","chr1",11669283,11671928,2646,"-",2,c("g3190.t1", "g3191.t1")
"709","chr1",11695452,11697331,1880,"-",2,c("g3195.t1", "g3196.t1")
"710","chr1",11732116,11733848,1733,"+",2,c("g3203.t1", "g3204.t1")
"711","chr1",11765588,11775207,9620,"-",2,c("g3209.t1", "g3210.t1")
"712","chr1",11776662,11782876,6215,"-",2,c("g3211.t1", "g3212.t1")
"713","chr1",11783101,11784899,1799,"+",2,c("g3213.t1", "g3214.t1")
"714","chr1",11785815,11801264,15450,"+",2,c("g3215.t1", "g3216.t1")
"715","chr1",11805673,11807573,1901,"-",2,c("g3217.t1", "g3218.t1")
"716","chr1",11839633,11847556,7924,"+",3,c("g3225.t1", "g3226.t1", "g3227.t1")
"717","chr1",11888912,11906870,17959,"-",2,c("g3238.t1", "g3239.t1")
"718","chr1",11959683,11971913,12231,"+",2,c("g3248.t1", "g3249.t1")
"719","chr1",11976920,11989872,12953,"+",7,c("g3251.t1", "g3252.t1", "g3253.t1", "g3254.t1", "g3255.t1", "g3256.t1", "g3257.t1")
"720","chr1",12020036,12025952,5917,"+",2,c("g3266.t1", "g3267.t1")
"721","chr1",12031466,12033078,1613,"+",2,c("g3269.t1", "g3270.t1")
"722","chr1",12044564,12046337,1774,"+",2,c("g3274.t1", "g3275.t1")
"723","chr1",12050560,12054742,4183,"+",3,c("g3276.t1", "g3277.t1", "g3278.t1")
"724","chr1",12075804,12082442,6639,"-",3,c("g3286.t1", "g3287.t1", "g3288.t1")
"725","chr1",12082806,12085518,2713,"+",2,c("g3289.t1", "g3290.t1")
"726","chr1",12091709,12099488,7780,"+",2,c("g3293.t1", "g3294.t1")
"727","chr1",12111552,12125166,13615,"+",5,c("g3300.t1", "g3301.t1", "g3302.t1", "g3303.t1", "g3304.t1")
"728","chr1",12128555,12134586,6032,"+",2,c("g3306.t1", "g3307.t1")
"729","chr1",12145028,12147247,2220,"+",2,c("g3309.t1", "g3310.t1")
"730","chr1",12157914,12167856,9943,"-",5,c("g3313.t1", "g3314.t1", "g3315.t1", "g3316.t1", "g3317.t1")
"731","chr1",12170033,12175038,5006,"-",2,c("g3318.t1", "g3319.t1")
"732","chr1",12199526,12210655,11130,"+",2,c("g3324.t1", "g3325.t1")
"733","chr1",12251403,12254957,3555,"-",2,c("g3330.t1", "g3331.t1")
"734","chr1",12269440,12274484,5045,"-",3,c("g3334.t1", "g3335.t1", "g3336.t1")
"735","chr1",12276764,12285755,8992,"+",3,c("g3338.t1", "g3339.t1", "g3340.t1")
"736","chr1",12296466,12303945,7480,"+",2,c("g3343.t1", "g3344.t1")
"737","chr1",12333660,12338367,4708,"-",2,c("g3353.t1", "g3354.t1")
"738","chr1",12344228,12348666,4439,"-",2,c("g3357.t1", "g3358.t1")
"739","chr1",12349661,12352522,2862,"-",2,c("g3359.t1", "g3360.t1")
"740","chr1",12364228,12375633,11406,"-",9,c("g3362.t1", "g3363.t1", "g3364.t1", "g3365.t1", "g3366.t1", "g3366.t2", "g3367.t1", "g3368.t1", "g3369.t1")
"741","chr1",12393050,12396079,3030,"-",2,c("g3374.t1", "g3375.t1")
"742","chr1",12396646,12401350,4705,"-",2,c("g3376.t1", "g3377.t1")
"743","chr1",12402395,12411039,8645,"-",2,c("g3378.t1", "g3379.t1")
"744","chr1",12415072,12419417,4346,"+",2,c("g3382.t1", "g3383.t1")
"745","chr1",12420066,12428512,8447,"+",3,c("g3384.t1", "g3385.t1", "g3386.t1")
"746","chr1",12439623,12441733,2111,"-",2,c("g3390.t1", "g3391.t1")
"747","chr1",12442279,12446074,3796,"-",2,c("g3392.t1", "g3393.t1")
"748","chr1",12452797,12459691,6895,"-",2,c("g3395.t1", "g3396.t1")
"749","chr1",12468856,12472173,3318,"-",3,c("g3400.t1", "g3401.t1", "g3402.t1")
"750","chr1",12474111,12487022,12912,"+",3,c("g3404.t1", "g3405.t1", "g3406.t1")
"751","chr1",12487972,12490714,2743,"+",2,c("g3407.t1", "g3407.t2")
"752","chr1",12491954,12498113,6160,"+",2,c("g3408.t1", "g3411.t1")
"753","chr1",12494182,12495505,1324,"-",2,c("g3409.t1", "g3410.t1")
"754","chr1",12498282,12508279,9998,"+",5,c("g3408.t1", "g3411.t1", "g3412.t1", "g3413.t1", "g3413.t2")
"755","chr1",12523083,12525467,2385,"+",3,c("g3418.t1", "g3419.t1", "g3420.t1")
"756","chr1",12563056,12570346,7291,"+",2,c("g3427.t1", "g3428.t1")
"757","chr1",12574342,12576967,2626,"-",3,c("g3429.t1", "g3429.t2", "g3430.t1")
"758","chr1",12584182,12594020,9839,"-",5,c("g3432.t1", "g3433.t1", "g3434.t1", "g3434.t2", "g3434.t3")
"759","chr1",12594741,12599157,4417,"-",2,c("g3435.t1", "g3436.t1")
"760","chr1",12652870,12658147,5278,"+",3,c("g3451.t1", "g3452.t1", "g3452.t2")
"761","chr1",12658973,12663859,4887,"+",2,c("g3453.t1", "g3454.t1")
"762","chr1",12674585,12683335,8751,"-",4,c("g3456.t1", "g3457.t2", "g3457.t1", "g3457.t3")
"763","chr1",12683921,12696094,12174,"+",7,c("g3459.t1", "g3460.t1", "g3461.t1", "g3462.t1", "g3463.t1", "g3464.t1", "g3465.t1")
"764","chr1",12707944,12708651,708,"+",2,c("g3468.t1", "g3468.t2")
"765","chr1",12709826,12726122,16297,"-",8,c("g3469.t1", "g3470.t1", "g3471.t1", "g3472.t1", "g3473.t1", "g3474.t1", "g3474.t2", "g3475.t1")
"766","chr1",12731314,12736421,5108,"+",3,c("g3477.t1", "g3477.t2", "g3478.t1")
"767","chr1",12742615,12746067,3453,"-",2,c("g3480.t1", "g3481.t1")
"768","chr1",12746353,12748934,2582,"+",2,c("g3482.t2", "g3482.t1")
"769","chr1",12771100,12772443,1344,"-",2,c("g3487.t1", "g3488.t1")
"770","chr1",12774035,12775268,1234,"-",2,c("g3490.t1", "g3491.t1")
"771","chr1",12781991,12784938,2948,"-",3,c("g3494.t1", "g3495.t1", "g3495.t2")
"772","chr1",12785884,12790424,4541,"-",2,c("g3496.t1", "g3497.t1")
"773","chr1",12791103,12795736,4634,"-",2,c("g3498.t1", "g3499.t1")
"774","chr1",12799024,12801693,2670,"-",3,c("g3500.t1", "g3501.t1", "g3501.t2")
"775","chr1",12806681,12813140,6460,"-",2,c("g3503.t1", "g3504.t1")
"776","chr1",12814638,12818097,3460,"-",2,c("g3505.t1", "g3506.t1")
"777","chr1",12827944,12830036,2093,"+",2,c("g3511.t2", "g3511.t1")
"778","chr1",12846819,12852434,5616,"-",2,c("g3516.t1", "g3517.t1")
"779","chr1",12852980,12857306,4327,"+",2,c("g3518.t1", "g3519.t1")
"780","chr1",12872291,12875640,3350,"-",4,c("g3524.t1", "g3524.t2", "g3525.t2", "g3525.t1")
"781","chr1",12881503,12884542,3040,"-",3,c("g3527.t1", "g3528.t1", "g3529.t1")
"782","chr1",12892901,12896661,3761,"+",2,c("g3532.t1", "g3532.t2")
"783","chr1",12906783,12916439,9657,"-",3,c("g3535.t1", "g3536.t1", "g3537.t1")
"784","chr1",12917013,12925653,8641,"-",4,c("g3538.t1", "g3539.t1", "g3540.t1", "g3541.t1")
"785","chr1",12926557,12943705,17149,"-",3,c("g3542.t1", "g3543.t1", "g3544.t1")
"786","chr1",12945337,12952678,7342,"-",3,c("g3545.t1", "g3545.t2", "g3546.t1")
"787","chr1",12968972,12974774,5803,"-",3,c("g3550.t1", "g3551.t1", "g3552.t1")
"788","chr1",12975882,12978210,2329,"-",2,c("g3554.t1", "g3555.t1")
"789","chr1",12989893,12991373,1481,"-",2,c("g3558.t1", "g3559.t1")
"790","chr1",12995458,13014044,18587,"-",6,c("g3561.t1", "g3562.t1", "g3563.t1", "g3564.t1", "g3565.t1", "g3566.t1")
"791","chr1",13017132,13018470,1339,"+",2,c("g3567.t1", "g3568.t1")
"792","chr1",13021737,13024846,3110,"+",2,c("g3569.t1", "g3569.t2")
"793","chr1",13045137,13048737,3601,"-",2,c("g3573.t1", "g3573.t2")
"794","chr1",13049882,13051437,1556,"+",2,c("g3574.t2", "g3574.t1")
"795","chr1",13058455,13080863,22409,"+",2,c("g3576.t1", "g3577.t1")
"796","chr1",13084933,13094672,9740,"-",3,c("g3580.t1", "g3581.t1", "g3582.t1")
"797","chr1",13109925,13112871,2947,"-",2,c("g3585.t1", "g3586.t1")
"798","chr1",13113163,13115555,2393,"+",2,c("g3587.t1", "g3588.t1")
"799","chr1",13203688,13208728,5041,"-",2,c("g3596.t1", "g3597.t1")
"800","chr1",13209446,13217970,8525,"+",3,c("g3598.t1", "g3599.t1", "g3599.t2")
"801","chr1",13218500,13229707,11208,"+",4,c("g3600.t1", "g3601.t1", "g3602.t1", "g3603.t1")
"802","chr1",13237354,13243538,6185,"+",4,c("g3606.t1", "g3607.t1", "g3607.t2", "g3608.t1")
"803","chr1",13261454,13265423,3970,"-",2,c("g3614.t1", "g3615.t1")
"804","chr1",13266345,13276803,10459,"+",2,c("g3616.t1", "g3617.t1")
"805","chr1",13276982,13281002,4021,"-",2,c("g3618.t1", "g3618.t2")
"806","chr1",13282636,13291115,8480,"-",4,c("g3620.t1", "g3621.t1", "g3622.t1", "g3623.t1")
"807","chr1",13291755,13299242,7488,"-",4,c("g3624.t4", "g3624.t2", "g3624.t3", "g3624.t1")
"808","chr1",13295763,13301251,5489,"-",3,c("g3624.t2", "g3624.t3", "g3624.t1")
"809","chr1",13311242,13337353,26112,"-",3,c("g3628.t2", "g3628.t1", "g3628.t3")
"810","chr1",13373038,13378198,5161,"-",2,c("g3637.t1", "g3638.t1")
"811","chr1",13384880,13389719,4840,"+",2,c("g3643.t1", "g3644.t1")
"812","chr1",13390051,13391758,1708,"-",2,c("g3645.t1", "g3646.t1")
"813","chr1",13395441,13402066,6626,"-",3,c("g3647.t1", "g3648.t1", "g3649.t1")
"814","chr1",13412791,13419883,7093,"-",3,c("g3654.t1", "g3655.t1", "g3656.t1")
"815","chr1",13432391,13434143,1753,"+",2,c("g3662.t1", "g3663.t1")
"816","chr1",13454564,13466192,11629,"+",4,c("g3665.t1", "g3666.t1", "g3667.t1", "g3668.t1")
"817","chr1",13484042,13489620,5579,"-",2,c("g3672.t1", "g3673.t1")
"818","chr1",13504073,13507244,3172,"-",2,c("g3676.t1", "g3677.t1")
"819","chr1",13524476,13527313,2838,"-",2,c("g3683.t1", "g3684.t1")
"820","chr1",13577707,13580645,2939,"+",2,c("g3692.t1", "g3693.t1")
"821","chr1",13588944,13594271,5328,"-",3,c("g3696.t1", "g3697.t1", "g3698.t1")
"822","chr1",13629125,13630480,1356,"-",2,c("g3707.t1", "g3708.t1")
"823","chr1",13652143,13655935,3793,"+",3,c("g3715.t1", "g3716.t1", "g3717.t1")
"824","chr1",13691874,13699323,7450,"+",2,c("g3725.t1", "g3726.t1")
"825","chr1",13709915,13713643,3729,"-",2,c("g3728.t1", "g3728.t2")
"826","chr1",13721506,13732617,11112,"+",4,c("g3730.t1", "g3731.t1", "g3732.t1", "g3733.t1")
"827","chr1",13733436,13735520,2085,"+",2,c("g3734.t1", "g3735.t1")
"828","chr1",13749329,13751500,2172,"+",2,c("g3738.t1", "g3738.t2")
"829","chr1",13761815,13763593,1779,"+",2,c("g3742.t1", "g3743.t1")
"830","chr1",13767332,13772568,5237,"-",2,c("g3745.t1", "g3746.t1")
"831","chr1",13786570,13793694,7125,"+",4,c("g3748.t1", "g3749.t1", "g3750.t1", "g3750.t2")
"832","chr1",13818528,13822239,3712,"-",3,c("g3758.t1", "g3758.t2", "g3759.t1")
"833","chr1",13826649,13835596,8948,"-",2,c("g3760.t1", "g3761.t1")
"834","chr1",13946524,13949245,2722,"+",2,c("g3780.t1", "g3781.t1")
"835","chr1",13962213,13964018,1806,"+",2,c("g3782.t1", "g3782.t2")
"836","chr1",13983082,13987481,4400,"-",2,c("g3788.t1", "g3789.t1")
"837","chr1",14023799,14028879,5081,"-",3,c("g3793.t1", "g3794.t1", "g3795.t1")
"838","chr1",14035346,14038229,2884,"+",2,c("g3799.t1", "g3800.t1")
"839","chr1",14054762,14056255,1494,"+",2,c("g3807.t1", "g3808.t1")
"840","chr1",14072151,14084053,11903,"-",2,c("g3811.t1", "g3812.t1")
"841","chr1",14106737,14110188,3452,"-",2,c("g3823.t1", "g3824.t1")
"842","chr1",14110449,14113306,2858,"+",2,c("g3825.t1", "g3826.t1")
"843","chr1",14113845,14129465,15621,"-",11,c("g3827.t1", "g3828.t1", "g3829.t1", "g3830.t1", "g3831.t1", "g3832.t1", "g3833.t1", "g3834.t1", "g3835.t1", "g3836.t1", "g3837.t1")
"844","chr1",14137434,14147881,10448,"-",2,c("g3839.t1", "g3840.t1")
"845","chr1",14151302,14168004,16703,"-",10,c("g3841.t1", "g3842.t1", "g3843.t1", "g3843.t2", "g3844.t1", "g3845.t2", "g3845.t1", "g3846.t1", "g3847.t1", "g3848.t1")
"846","chr1",14176529,14179023,2495,"-",2,c("g3852.t1", "g3852.t2")
"847","chr1",14179827,14182614,2788,"-",2,c("g3853.t1", "g3853.t2")
"848","chr1",14184621,14188577,3957,"+",3,c("g3855.t1", "g3856.t1", "g3857.t1")
"849","chr1",14191199,14197426,6228,"-",2,c("g3859.t1", "g3860.t1")
"850","chr1",14207129,14229148,22020,"-",8,c("g3864.t1", "g3865.t1", "g3865.t2", "g3866.t1", "g3867.t1", "g3868.t1", "g3869.t1", "g3869.t2")
"851","chr1",14229808,14236795,6988,"-",5,c("g3870.t1", "g3870.t2", "g3871.t1", "g3872.t1", "g3873.t1")
"852","chr1",14240512,14245779,5268,"+",5,c("g3875.t1", "g3876.t2", "g3876.t1", "g3876.t3", "g3878.t1")
"853","chr1",14245433,14251446,6014,"+",4,c("g3876.t1", "g3876.t3", "g3878.t1", "g3879.t1")
"854","chr1",14253552,14256017,2466,"+",2,c("g3881.t1", "g3882.t1")
"855","chr1",14298914,14303284,4371,"-",3,c("g3892.t1", "g3893.t1", "g3894.t1")
"856","chr1",14304935,14313819,8885,"-",3,c("g3895.t1", "g3896.t1", "g3897.t1")
"857","chr1",14318818,14342820,24003,"-",2,c("g3898.t1", "g3898.t2")
"858","chr1",14352040,14358743,6704,"+",2,c("g3900.t1", "g3900.t2")
"859","chr1",14406768,14409789,3022,"+",2,c("g3908.t1", "g3908.t2")
"860","chr1",14411406,14414646,3241,"-",2,c("g3910.t1", "g3911.t1")
"861","chr1",14415756,14418263,2508,"-",2,c("g3912.t1", "g3913.t1")
"862","chr1",14457045,14466935,9891,"+",4,c("g3920.t1", "g3920.t3", "g3920.t2", "g3920.t4")
"863","chr1",14471133,14476594,5462,"+",4,c("g3921.t1", "g3922.t1", "g3923.t1", "g3924.t1")
"864","chr1",14477362,14491221,13860,"+",5,c("g3925.t1", "g3926.t1", "g3927.t1", "g3928.t1", "g3929.t1")
"865","chr1",14492348,14502198,9851,"+",4,c("g3930.t1", "g3931.t1", "g3932.t1", "g3933.t1")
"866","chr2",165882,175652,9771,"-",2,c("g3949.t1", "g3950.t1")
"867","chr2",183404,187516,4113,"+",3,c("g3953.t1", "g3953.t2", "g3953.t3")
"868","chr2",221387,222848,1462,"-",2,c("g3956.t2", "g3956.t1")
"869","chr2",242769,249233,6465,"+",4,c("g3958.t4", "g3958.t2", "g3958.t3", "g3958.t1")
"870","chr2",266485,267713,1229,"-",2,c("g3962.t1", "g3963.t1")
"871","chr2",331843,334405,2563,"-",3,c("g3978.t1", "g3978.t2", "g3978.t3")
"872","chr2",335726,346329,10604,"-",5,c("g3979.t1", "g3980.t1", "g3981.t1", "g3982.t1", "g3983.t1")
"873","chr2",381892,384872,2981,"+",2,c("g3996.t1", "g3996.t2")
"874","chr2",422031,424707,2677,"+",2,c("g4010.t1", "g4011.t1")
"875","chr2",425378,435122,9745,"+",5,c("g4012.t1", "g4013.t1", "g4014.t3", "g4014.t1", "g4014.t2")
"876","chr2",437724,440004,2281,"+",2,c("g4018.t1", "g4019.t1")
"877","chr2",471905,480455,8551,"-",4,c("g4031.t1", "g4032.t1", "g4033.t1", "g4034.t1")
"878","chr2",503222,505447,2226,"+",2,c("g4041.t1", "g4042.t1")
"879","chr2",685523,692916,7394,"-",2,c("g4071.t1", "g4072.t1")
"880","chr2",738367,741621,3255,"-",2,c("g4086.t1", "g4087.t1")
"881","chr2",742666,750009,7344,"-",2,c("g4088.t1", "g4088.t2")
"882","chr2",946289,954464,8176,"-",2,c("g4120.t1", "g4121.t1")
"883","chr2",987044,990370,3327,"+",2,c("g4129.t1", "g4129.t2")
"884","chr2",991127,1002207,11081,"-",4,c("g4130.t1", "g4131.t1", "g4132.t1", "g4133.t1")
"885","chr2",1034911,1039288,4378,"-",2,c("g4139.t1", "g4140.t1")
"886","chr2",1042984,1050398,7415,"+",2,c("g4141.t1", "g4142.t1")
"887","chr2",1050931,1052674,1744,"-",2,c("g4143.t1", "g4143.t2")
"888","chr2",1054328,1055883,1556,"+",2,c("g4144.t1", "g4144.t2")
"889","chr2",1055960,1057599,1640,"-",2,c("g4145.t1", "g4146.t1")
"890","chr2",1058312,1061659,3348,"+",3,c("g4147.t1", "g4147.t2", "g4148.t1")
"891","chr2",1093752,1099156,5405,"-",2,c("g4152.t1", "g4153.t1")
"892","chr2",1144683,1146210,1528,"-",2,c("g4168.t1", "g4169.t1")
"893","chr2",1146719,1151031,4313,"+",2,c("g4170.t1", "g4171.t1")
"894","chr2",1169604,1172899,3296,"+",3,c("g4177.t2", "g4177.t1", "g4178.t1")
"895","chr2",1203451,1216357,12907,"-",3,c("g4186.t1", "g4186.t3", "g4186.t2")
"896","chr2",1226723,1229327,2605,"+",2,c("g4191.t1", "g4192.t1")
"897","chr2",1255446,1258790,3345,"-",3,c("g4199.t3", "g4199.t2", "g4199.t1")
"898","chr2",1266948,1268733,1786,"+",2,c("g4201.t1", "g4201.t2")
"899","chr2",1330415,1339359,8945,"+",3,c("g4214.t1", "g4215.t1", "g4216.t1")
"900","chr2",1346874,1348961,2088,"-",2,c("g4218.t1", "g4219.t1")
"901","chr2",1351336,1352559,1224,"+",2,c("g4221.t1", "g4222.t1")
"902","chr2",1355455,1360231,4777,"-",3,c("g4224.t1", "g4224.t2", "g4225.t1")
"903","chr2",1365833,1375745,9913,"+",4,c("g4227.t1", "g4228.t1", "g4229.t1", "g4230.t1")
"904","chr2",1419980,1422179,2200,"-",2,c("g4246.t1", "g4247.t1")
"905","chr2",1424610,1430255,5646,"+",2,c("g4249.t1", "g4249.t2")
"906","chr2",1434590,1439679,5090,"+",2,c("g4252.t1", "g4253.t1")
"907","chr2",1460743,1463574,2832,"+",3,c("g4261.t1", "g4261.t2", "g4261.t3")
"908","chr2",1463719,1477584,13866,"-",3,c("g4262.t1", "g4263.t1", "g4264.t1")
"909","chr2",1478513,1492222,13710,"-",2,c("g4265.t1", "g4265.t2")
"910","chr2",1496018,1497891,1874,"+",2,c("g4267.t1", "g4268.t1")
"911","chr2",1560517,1562434,1918,"+",2,c("g4288.t1", "g4289.t1")
"912","chr2",1563650,1571058,7409,"+",2,c("g4290.t1", "g4290.t2")
"913","chr2",1630466,1640047,9582,"-",3,c("g4309.t1", "g4310.t1", "g4311.t1")
"914","chr2",1677933,1680700,2768,"+",2,c("g4323.t1", "g4324.t1")
"915","chr2",1681727,1690061,8335,"+",4,c("g4325.t1", "g4326.t1", "g4327.t1", "g4328.t1")
"916","chr2",1690233,1691991,1759,"-",2,c("g4329.t2", "g4329.t1")
"917","chr2",1750543,1752966,2424,"+",2,c("g4351.t1", "g4352.t1")
"918","chr2",1759194,1771391,12198,"-",4,c("g4354.t1", "g4355.t1", "g4356.t1", "g4357.t1")
"919","chr2",1776242,1786296,10055,"+",4,c("g4360.t1", "g4361.t1", "g4362.t1", "g4363.t1")
"920","chr2",1919236,1930310,11075,"-",2,c("g4399.t1", "g4400.t1")
"921","chr2",2008950,2013332,4383,"+",3,c("g4418.t1", "g4419.t1", "g4420.t1")
"922","chr2",2020601,2026827,6227,"+",4,c("g4423.t1", "g4423.t2", "g4424.t1", "g4425.t1")
"923","chr2",2034740,2037032,2293,"+",2,c("g4428.t1", "g4428.t2")
"924","chr2",2044954,2055936,10983,"-",2,c("g4434.t1", "g4434.t2")
"925","chr2",2064314,2077208,12895,"+",3,c("g4437.t3", "g4437.t2", "g4437.t1")
"926","chr2",2078831,2081769,2939,"-",2,c("g4438.t1", "g4439.t1")
"927","chr2",2089499,2091978,2480,"+",2,c("g4441.t2", "g4441.t1")
"928","chr2",2143316,2149309,5994,"-",2,c("g4453.t1", "g4454.t1")
"929","chr2",2150923,2153452,2530,"-",2,c("g4455.t1", "g4455.t2")
"930","chr2",2183955,2185066,1112,"+",2,c("g4468.t1", "g4469.t1")
"931","chr2",2239346,2242820,3475,"-",4,c("g4482.t1", "g4483.t1", "g4483.t2", "g4483.t3")
"932","chr2",2256212,2258599,2388,"+",2,c("g4485.t1", "g4486.t1")
"933","chr2",2266107,2273444,7338,"-",3,c("g4488.t1", "g4489.t1", "g4490.t1")
"934","chr2",2277948,2281654,3707,"+",2,c("g4492.t1", "g4493.t1")
"935","chr2",2303855,2309463,5609,"-",4,c("g4495.t1", "g4496.t1", "g4496.t2", "g4497.t1")
"936","chr2",2320852,2321684,833,"-",2,c("g4500.t1", "g4501.t1")
"937","chr2",2323268,2326413,3146,"-",2,c("g4502.t1", "g4503.t1")
"938","chr2",2337151,2339294,2144,"+",3,c("g4506.t1", "g4506.t2", "g4506.t3")
"939","chr2",2341386,2343835,2450,"-",2,c("g4508.t1", "g4508.t2")
"940","chr2",2347453,2349961,2509,"+",3,c("g4510.t1", "g4511.t1", "g4512.t1")
"941","chr2",2436062,2440196,4135,"+",2,c("g4529.t1", "g4529.t2")
"942","chr2",2641529,2646441,4913,"-",2,c("g4585.t1", "g4586.t1")
"943","chr2",2679573,2685730,6158,"+",2,c("g4597.t1", "g4598.t1")
"944","chr2",2686021,2692127,6107,"-",2,c("g4599.t1", "g4600.t1")
"945","chr2",2700067,2701936,1870,"+",2,c("g4603.t1", "g4604.t1")
"946","chr2",2742780,2749733,6954,"-",3,c("g4616.t1", "g4617.t1", "g4618.t1")
"947","chr2",2752017,2754421,2405,"+",2,c("g4619.t1", "g4620.t1")
"948","chr2",2757012,2760322,3311,"-",2,c("g4621.t1", "g4622.t1")
"949","chr2",2830584,2832835,2252,"-",2,c("g4646.t1", "g4647.t1")
"950","chr2",2844536,2859119,14584,"-",3,c("g4650.t2", "g4650.t3", "g4650.t1")
"951","chr2",2863753,2866199,2447,"+",2,c("g4652.t1", "g4652.t2")
"952","chr2",2871460,2877518,6059,"-",2,c("g4654.t1", "g4654.t2")
"953","chr2",2893907,2900280,6374,"+",2,c("g4660.t2", "g4660.t1")
"954","chr2",2911494,2913172,1679,"-",2,c("g4668.t1", "g4669.t1")
"955","chr2",2935425,2939879,4455,"-",2,c("g4677.t1", "g4678.t1")
"956","chr2",2952173,2954164,1992,"-",2,c("g4683.t1", "g4684.t1")
"957","chr2",2991090,2996573,5484,"+",2,c("g4697.t1", "g4698.t1")
"958","chr2",3048276,3058939,10664,"-",3,c("g4708.t1", "g4709.t1", "g4710.t1")
"959","chr2",3060768,3061930,1163,"-",2,c("g4712.t2", "g4712.t1")
"960","chr2",3068118,3071547,3430,"+",2,c("g4714.t1", "g4715.t1")
"961","chr2",3122940,3125310,2371,"-",3,c("g4729.t2", "g4729.t1", "g4730.t1")
"962","chr2",3136707,3143234,6528,"+",2,c("g4734.t1", "g4735.t1")
"963","chr2",3143373,3144565,1193,"-",2,c("g4736.t2", "g4736.t1")
"964","chr2",3153719,3157308,3590,"+",2,c("g4739.t1", "g4740.t1")
"965","chr2",3169459,3173078,3620,"-",2,c("g4743.t1", "g4744.t1")
"966","chr2",3180015,3188740,8726,"+",2,c("g4747.t1", "g4748.t1")
"967","chr2",3205108,3210508,5401,"-",2,c("g4754.t1", "g4754.t2")
"968","chr2",3211284,3219987,8704,"+",3,c("g4755.t2", "g4755.t1", "g4756.t1")
"969","chr2",3244040,3244989,950,"-",2,c("g4766.t1", "g4766.t2")
"970","chr2",3251024,3256974,5951,"+",3,c("g4770.t1", "g4771.t1", "g4772.t1")
"971","chr2",3278707,3281041,2335,"+",2,c("g4783.t1", "g4784.t1")
"972","chr2",3282531,3288065,5535,"-",3,c("g4786.t1", "g4787.t1", "g4788.t1")
"973","chr2",3340314,3342258,1945,"-",2,c("g4807.t1", "g4808.t1")
"974","chr2",3439335,3447199,7865,"-",2,c("g4839.t1", "g4840.t1")
"975","chr2",3447715,3448759,1045,"-",2,c("g4841.t1", "g4842.t1")
"976","chr2",3453682,3458932,5251,"+",2,c("g4843.t1", "g4843.t2")
"977","chr2",3474226,3480998,6773,"-",2,c("g4848.t1", "g4848.t2")
"978","chr2",3521834,3523955,2122,"-",2,c("g4858.t1", "g4859.t1")
"979","chr2",3524470,3529828,5359,"+",2,c("g4860.t1", "g4861.t1")
"980","chr2",3530282,3535721,5440,"-",2,c("g4862.t1", "g4863.t1")
"981","chr2",3534431,3535324,894,"+",2,c("g4864.t1", "g4865.t1")
"982","chr2",3553959,3558170,4212,"-",4,c("g4871.t1", "g4871.t2", "g4872.t1", "g4873.t1")
"983","chr2",3576180,3589417,13238,"-",2,c("g4878.t1", "g4879.t1")
"984","chr2",3592747,3597495,4749,"-",2,c("g4880.t1", "g4881.t1")
"985","chr2",3601111,3608620,7510,"-",2,c("g4882.t1", "g4883.t1")
"986","chr2",3619480,3624116,4637,"+",2,c("g4885.t1", "g4886.t1")
"987","chr2",3665908,3667465,1558,"-",2,c("g4889.t1", "g4890.t1")
